tamanho,conjunto,algoritmo,iteracao,tempo
20000,aleatorio,heapSort,18,0.045056
20000,aleatorio,heapSort,19,0.045158
20000,aleatorio,heapSort,20,0.045621
20000,aleatorio,heapSort,21,0.045138
20000,aleatorio,heapSort,22,0.044881
20000,aleatorio,heapSort,23,0.045116
20000,aleatorio,heapSort,24,0.046250
20000,aleatorio,heapSort,25,0.045713
20000,aleatorio,heapSort,26,0.046050
20000,aleatorio,heapSort,27,0.045985
20000,aleatorio,heapSort,28,0.045465
20000,aleatorio,heapSort,29,0.046136
20000,aleatorio,heapSort,30,0.046103
20000,aleatorio,cycleSort,1,11.485367
20000,aleatorio,cycleSort,2,11.588274
20000,aleatorio,cycleSort,3,11.491011
20000,aleatorio,cycleSort,4,11.834303
20000,aleatorio,cycleSort,5,11.815278
20000,aleatorio,cycleSort,6,11.869042
20000,aleatorio,cycleSort,7,11.535914
20000,aleatorio,cycleSort,8,11.495011
20000,aleatorio,cycleSort,9,11.509803
20000,aleatorio,cycleSort,10,11.556174
20000,aleatorio,cycleSort,11,11.540191
20000,aleatorio,cycleSort,12,11.589519
20000,aleatorio,cycleSort,13,11.733556
20000,aleatorio,cycleSort,14,11.719903
20000,aleatorio,cycleSort,15,11.573815
20000,aleatorio,cycleSort,16,11.508685
20000,aleatorio,cycleSort,17,11.470340
20000,aleatorio,cycleSort,18,11.481193
20000,aleatorio,cycleSort,19,11.474667
20000,aleatorio,cycleSort,20,11.476185
20000,aleatorio,cycleSort,21,11.473513
20000,aleatorio,cycleSort,22,11.465753
20000,aleatorio,cycleSort,23,11.439472
20000,aleatorio,cycleSort,24,11.440905
20000,aleatorio,cycleSort,25,11.426742
20000,aleatorio,cycleSort,26,11.457818
20000,aleatorio,cycleSort,27,11.495804
20000,aleatorio,cycleSort,28,11.738452
20000,aleatorio,cycleSort,29,11.989091
20000,aleatorio,cycleSort,30,11.964415
40000,crescente,heapSort,1,0.102117
40000,crescente,heapSort,2,0.101700
40000,crescente,heapSort,3,0.101773
40000,crescente,heapSort,4,0.101892
40000,crescente,heapSort,5,0.101754
40000,crescente,heapSort,6,0.102508
40000,crescente,heapSort,7,0.102407
40000,crescente,heapSort,8,0.102848
40000,crescente,heapSort,9,0.102769
40000,crescente,heapSort,10,0.103802
40000,crescente,heapSort,11,0.105366
40000,crescente,heapSort,12,0.107092
40000,crescente,heapSort,13,0.103859
40000,crescente,heapSort,14,0.104829
40000,crescente,heapSort,15,0.103589
40000,crescente,heapSort,16,0.104014
40000,crescente,heapSort,17,0.103790
40000,crescente,heapSort,18,0.104211
40000,crescente,heapSort,19,0.103053
40000,crescente,heapSort,20,0.103649
40000,crescente,heapSort,21,0.104278
40000,crescente,heapSort,22,0.102844
40000,crescente,heapSort,23,0.104154
40000,crescente,heapSort,24,0.103776
40000,crescente,heapSort,25,0.103620
40000,crescente,heapSort,26,0.103279
40000,crescente,heapSort,27,0.103425
40000,crescente,heapSort,28,0.102761
40000,crescente,heapSort,29,0.102933
40000,crescente,heapSort,30,0.103118
40000,crescente,cycleSort,1,9.317418
40000,crescente,cycleSort,2,9.255135
